ID,类型,SKU,名称,已发布,是推荐产品,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货,库存,库存不足,允许缺货下单,单独出售,重量(kg),长度(cm),宽度(cm),高度(cm),允许客户评价,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局,属性5名称,属性5值,属性5可见,属性5全局,属性6名称,属性6值,属性6可见,属性6全局
56422,variable,600046213969,Sterling Silver Necklace L'Amour De Paris Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN014GZYlz1ouZx0Pem2v_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN015eYDTX1ouZx6rsnzy_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01XtLRcz1ouZx6rrbAj_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01lkhe5H1ouZx48fVMj_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/11669402904_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01xBQTje1ouZx56z5l4_3967795285-0-cib.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
56507,variation,600046213969-1,Sterling Silver Necklace L'Amour De Paris Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,56,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01xBQTje1ouZx56z5l4_3967795285-0-cib.jpg,,,600046213969,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56367,variable,600510623768,Sterling Silver Necklace Uneven Surface Coin Pendant 1 Hole,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01ieIMk91ouZvhUxFBb_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01T5aZgQ1ouZvfvLLNu_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01eLCyNo1ouZvd74ehu_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01Xl88i21ouZvj3So7D_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/11637985049_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
56461,variation,600510623768-1,Sterling Silver Necklace Uneven Surface Coin Pendant 1 Hole - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,41,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01ieIMk91ouZvhUxFBb_3967795285-0-cib.jpg,,,600510623768,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56423,variable,600769040353,Sterling Silver Necklace Queen Elizabeth 1901 Coin Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01LI57711ouZvk1gYOa_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01XFSYyz1ouZvk1fY13_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01VCenl51ouZvd7Ce3m_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01iClB9s1ouZvbZctSM_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/11845538243_480399264.jpg",,,,,,,,,0,Color,"Retro, Gold",1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
56513,variation,600769040353-1,Sterling Silver Necklace Queen Elizabeth 1901 Coin Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,49,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01LI57711ouZvk1gYOa_3967795285-0-cib.jpg,,,600769040353,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56514,variation,600769040353-2,Sterling Silver Necklace Queen Elizabeth 1901 Coin Pendant - Retro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,49,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01XFSYyz1ouZvk1fY13_3967795285-0-cib.jpg,,,600769040353,,,,,,1,Color,Retro,,0,,,,,,,,,,,,,,,,,,,,
40625,variable,601003517190,Sterling Silver Necklace 5 Helvetica Rappen Coin Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01W8kjej1ouZvbZbLdR_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01o4Y6LZ1ouZvk1bvH5_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01IFxsOZ1ouZvd76wRa_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01EXFwMl1ouZvlkCyLF_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/11813176929_480399264.jpg",,,,,,,,,0,Color,"Retro, Gold",1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
40706,variation,601003517190-1,Sterling Silver Necklace 5 Helvetica Rappen Coin Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,45,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01W8kjej1ouZvbZbLdR_3967795285-0-cib.jpg,,,601003517190,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
40707,variation,601003517190-2,Sterling Silver Necklace 5 Helvetica Rappen Coin Pendant - Retro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,45,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01o4Y6LZ1ouZvk1bvH5_3967795285-0-cib.jpg,,,601003517190,,,,,,1,Color,Retro,,0,,,,,,,,,,,,,,,,,,,,
